Rapport sur les mots clés pour le Réseau de Recherche
Toute la période
État des mots clés,Mot clé,Type de correspondance,Campagne,Groupe d'annonces,État,Motifs de l'état,URL finale,Impr.,CTR,Code de la devise,Coût,Clics,Taux de conv.,Conversions,CPC moy.,Coût/conv.
Mis en veille,[organisation séminaire chateau],Mot clé exact,INTENTION_LUXE,Chateaux_General,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau pour séminaire entreprise],Mot clé exact,INTENTION_LUXE,Chateaux_General,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu atypique séminaire],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,16,"6,25%",ILS,"25,38",1,"0,00%","0,00","25,38","0,00"
Activé,[lieu séminaire haut de gamme],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,5,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire résidentiel chateau],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Mis en veille,[chateau séminaire proche paris],Mot clé exact,INTENTION_LUXE,Chateaux_General,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire au vert paris],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,18,"5,56%",ILS,"17,14",1,"0,00%","0,00","17,14","0,00"
Mis en veille,[venue finding séminaire],Mot clé exact,INTENTION_LUXE,Chateaux_General,En veille,en veille; rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[soirée entreprise chateau],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,8,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire résidentiel],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire ile de france],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,4,"50,00%",ILS,"40,20",2,"0,00%","0,00","20,10","0,00"
Activé,[location chateau séminaire],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,27,"25,93%",ILS,"167,27",7,"0,00%","0,00","23,90","0,00"
Activé,[lieu séminaire proche paris],Mot clé exact,INTENTION_LUXE,Chateaux_General,Éligible,,,16,"6,25%",ILS,"26,03",1,"0,00%","0,00","26,03","0,00"
